"Package","Version","Source","Type","Title","License","URL","Author","Maintainer","Repository"
"tidyr","1.3.1","Repository","","Tidy Messy Data","MIT + file LICENSE","https://tidyr.tidyverse.org, https://github.com/tidyverse/tidyr","Hadley Wickham [aut, cre], Davis Vaughan [aut], Maximilian Girlich [aut], Kevin Ushey [ctb], Posit Software, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"tidyselect","1.2.1","Repository","","Select from a Set of Strings","MIT + file LICENSE","https://tidyselect.r-lib.org, https://github.com/r-lib/tidyselect","Lionel Henry [aut, cre], Hadley Wickham [aut], Posit Software, PBC [cph, fnd]","Lionel Henry <lionel@posit.co>","CRAN"
"tinytex","0.57","Repository","Package","Helper Functions to Install and Maintain TeX Live, and Compile LaTeX Documents","MIT + file LICENSE","https://github.com/rstudio/tinytex","Yihui Xie [aut, cre, cph] (<https://orcid.org/0000-0003-0645-5666>), Posit Software, PBC [cph, fnd], Christophe Dervieux [ctb] (<https://orcid.org/0000-0003-4474-2498>), Devon Ryan [ctb] (<https://orcid.org/0000-0002-8549-0971>), Ethan Heinzen [ctb], Fernando Cagua [ctb]","Yihui Xie <xie@yihui.name>","CRAN"
"utf8","1.2.6","Repository","","Unicode Text Processing","Apache License (== 2.0) | file LICENSE","https://krlmlr.github.io/utf8/, https://github.com/krlmlr/utf8","Patrick O. Perry [aut, cph], Kirill Müller [cre] (ORCID: <https://orcid.org/0000-0002-1416-3412>), Unicode, Inc. [cph, dtc] (Unicode Character Database)","Kirill Müller <kirill@cynkra.com>","CRAN"
"uuid","1.2-1","Repository","","Tools for Generating and Handling of UUIDs","MIT + file LICENSE","https://www.rforge.net/uuid","Simon Urbanek [aut, cre, cph] (https://urbanek.org, <https://orcid.org/0000-0003-2297-1732>), Theodore Ts'o [aut, cph] (libuuid)","Simon Urbanek <Simon.Urbanek@r-project.org>","CRAN"
"vctrs","0.6.5","Repository","","Vector Helpers","MIT + file LICENSE","https://vctrs.r-lib.org/, https://github.com/r-lib/vctrs","Hadley Wickham [aut], Lionel Henry [aut], Davis Vaughan [aut, cre], data.table team [cph] (Radix sort based on data.table's forder() and their contribution to R's order()), Posit Software, PBC [cph, fnd]","Davis Vaughan <davis@posit.co>","CRAN"
"viridisLite","0.4.2","Repository","Package","Colorblind-Friendly Color Maps (Lite Version)","MIT + file LICENSE","https://sjmgarnier.github.io/viridisLite/, https://github.com/sjmgarnier/viridisLite/","Simon Garnier [aut, cre], Noam Ross [ctb, cph], Bob Rudis [ctb, cph], Marco Sciaini [ctb, cph], Antônio Pedro Camargo [ctb, cph], Cédric Scherer [ctb, cph]","Simon Garnier <garnier@njit.edu>","CRAN"
"waiter","0.2.5","Repository","","Loading Screen for 'Shiny'","MIT + file LICENSE","https://waiter.john-coene.com/, https://github.com/JohnCoene/waiter","John Coene [aut, cre], Jinhwan Kim [ctb], Victor Granda [ctb] (<https://orcid.org/0000-0002-0469-1991>)","John Coene <jcoenep@gmail.com>","CRAN"
"waldo","0.6.2","Repository","","Find Differences Between R Objects","MIT + file LICENSE","https://waldo.r-lib.org, https://github.com/r-lib/waldo","Hadley Wickham [aut, cre], Posit Software, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"withr","3.0.2","Repository","","Run Code 'With' Temporarily Modified Global State","MIT + file LICENSE","https://withr.r-lib.org, https://github.com/r-lib/withr#readme","Jim Hester [aut], Lionel Henry [aut, cre], Kirill Müller [aut], Kevin Ushey [aut], Hadley Wickham [aut], Winston Chang [aut], Jennifer Bryan [ctb], Richard Cotton [ctb], Posit Software, PBC [cph, fnd]","Lionel Henry <lionel@posit.co>","CRAN"
"xfun","0.52","Repository","Package","Supporting Functions for Packages Maintained by 'Yihui Xie'","MIT + file LICENSE","https://github.com/yihui/xfun","Yihui Xie [aut, cre, cph] (<https://orcid.org/0000-0003-0645-5666>, https://yihui.org), Wush Wu [ctb], Daijiang Li [ctb], Xianying Tan [ctb], Salim Brüggemann [ctb] (<https://orcid.org/0000-0002-5329-5987>), Christophe Dervieux [ctb]","Yihui Xie <xie@yihui.name>","CRAN"
"xml2","1.3.8","Repository","","Parse XML","MIT + file LICENSE","https://xml2.r-lib.org, https://r-lib.r-universe.dev/xml2","Hadley Wickham [aut], Jim Hester [aut], Jeroen Ooms [aut, cre], Posit Software, PBC [cph, fnd], R Foundation [ctb] (Copy of R-project homepage cached as example)","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"xmlparsedata","1.0.5","Repository","","Parse Data of 'R' Code as an 'XML' Tree","MIT + file LICENSE","https://github.com/r-lib/xmlparsedata#readme","Gábor Csárdi","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"xtable","1.8-4","Repository","","Export Tables to LaTeX or HTML","GPL (>= 2)","http://xtable.r-forge.r-project.org/","David B. Dahl [aut], David Scott [aut, cre], Charles Roosen [aut], Arni Magnusson [aut], Jonathan Swinton [aut], Ajay Shah [ctb], Arne Henningsen [ctb], Benno Puetz [ctb], Bernhard Pfaff [ctb], Claudio Agostinelli [ctb], Claudius Loehnert [ctb], David Mitchell [ctb], David Whiting [ctb], Fernando da Rosa [ctb], Guido Gay [ctb], Guido Schulz [ctb], Ian Fellows [ctb], Jeff Laake [ctb], John Walker [ctb], Jun Yan [ctb], Liviu Andronic [ctb], Markus Loecher [ctb], Martin Gubri [ctb], Matthieu Stigler [ctb], Robert Castelo [ctb], Seth Falcon [ctb], Stefan Edwards [ctb], Sven Garbade [ctb], Uwe Ligges [ctb]","David Scott <d.scott@auckland.ac.nz>","CRAN"
"yaml","2.3.10","Repository","Package","Methods to Convert R Data to YAML and Back","BSD_3_clause + file LICENSE","https://github.com/vubiostat/r-yaml/","Shawn P Garbett [aut], Jeremy Stephens [aut, cre], Kirill Simonov [aut], Yihui Xie [ctb], Zhuoer Dong [ctb], Hadley Wickham [ctb], Jeffrey Horner [ctb], reikoch [ctb], Will Beasley [ctb], Brendan O'Connor [ctb], Gregory R. Warnes [ctb], Michael Quinn [ctb], Zhian N. Kamvar [ctb], Charlie Gao [ctb]","Shawn Garbett <shawn.garbett@vumc.org>","CRAN"
